MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,LIVE
2,EXC
3,FAIL
4,FAIL
5,EXC
6,FAIL
7,FAIL
8,EXC
9,FAIL
10,LIVE
11,EXC
12,FAIL
13,EXC
14,FAIL
15,EXC
16,EXC
17,FAIL
18,EXC
19,FAIL
20,FAIL
21,EXC
22,FAIL
23,FAIL
24,FAIL
25,LIVE
26,FAIL
27,FAIL
28,LIVE
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,TIME
39,TIME
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,FAIL
47,TIME
48,EXC
49,EXC
50,EXC
51,EXC
52,FAIL
53,FAIL
54,EXC
55,FAIL
56,FAIL
57,EXC
58,FAIL
59,FAIL
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,TIME
69,FAIL
70,FAIL
71,LIVE
72,FAIL
73,FAIL
74,LIVE
75,FAIL
76,EXC
77,FAIL
78,FAIL
79,EXC
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,TIME
