MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,EXC
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,EXC
7,FAIL
8,EXC
9,FAIL
10,EXC
11,FAIL
12,LIVE
13,LIVE
14,FAIL
15,EXC
16,EXC
17,FAIL
18,FAIL
19,FAIL
20,EXC
21,LIVE
22,EXC
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,EXC
31,FAIL
32,FAIL
33,EXC
34,EXC
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,LIVE
42,FAIL
43,FAIL
44,EXC
45,LIVE
46,LIVE
47,LIVE
48,FAIL
49,EXC
50,EXC
51,FAIL
52,FAIL
53,EXC
54,EXC
55,LIVE
56,FAIL
57,EXC
58,EXC
59,FAIL
60,FAIL
61,EXC
62,TIME
63,FAIL
64,LIVE
65,FAIL
66,LIVE
67,LIVE
68,FAIL
69,EXC
70,FAIL
71,FAIL
72,EXC
73,FAIL
74,FAIL
75,EXC
76,TIME
77,EXC
78,LIVE
79,LIVE
80,LIVE
81,FAIL
82,EXC
83,EXC
84,FAIL
85,EXC
86,FAIL
87,EXC
88,FAIL
89,LIVE
90,EXC
91,EXC
92,EXC
93,FAIL
94,EXC
95,EXC
96,EXC
97,EXC
98,FAIL
99,FAIL
100,EXC
101,TIME
102,FAIL
103,LIVE
104,FAIL
105,LIVE
106,FAIL
107,EXC
108,FAIL
109,LIVE
110,EXC
111,EXC
112,EXC
113,FAIL
114,EXC
115,EXC
116,EXC
117,FAIL
118,FAIL
119,EXC
120,FAIL
121,FAIL
122,EXC
123,TIME
124,FAIL
125,EXC
126,EXC
127,LIVE
128,LIVE
129,LIVE
130,FAIL
131,EXC
132,EXC
133,FAIL
134,FAIL
135,EXC
136,LIVE
137,EXC
138,FAIL
139,FAIL
140,EXC
141,LIVE
142,FAIL
143,UNCOV
144,UNCOV
145,LIVE
146,LIVE
147,LIVE
148,LIVE
149,LIVE
150,EXC
151,FAIL
152,UNCOV
153,UNCOV
154,UNCOV
155,UNCOV
156,EXC
157,EXC
158,UNCOV
159,UNCOV
160,UNCOV
161,FAIL
162,EXC
163,EXC
164,EXC
165,LIVE
166,EXC
167,EXC
168,FAIL
169,FAIL
170,LIVE
171,LIVE
172,FAIL
173,FAIL
174,LIVE
175,FAIL
176,FAIL
177,FAIL
178,FAIL
179,EXC
180,EXC
181,EXC
182,EXC
183,EXC
184,FAIL
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,FAIL
191,EXC
192,FAIL
193,FAIL
194,LIVE
195,EXC
196,FAIL
197,LIVE
198,EXC
199,EXC
200,EXC
201,LIVE
202,FAIL
203,FAIL
204,LIVE
205,EXC
206,EXC
207,EXC
208,EXC
209,EXC
210,FAIL
211,FAIL
212,EXC
213,EXC
214,EXC
215,EXC
216,EXC
217,FAIL
218,FAIL
219,FAIL
220,FAIL
221,FAIL
222,FAIL
223,EXC
224,FAIL
225,EXC
226,FAIL
227,FAIL
228,FAIL
229,FAIL
230,FAIL
231,FAIL
232,FAIL
233,FAIL
234,FAIL
235,FAIL
236,FAIL
237,FAIL
238,FAIL
239,FAIL
240,FAIL
241,FAIL
242,FAIL
243,FAIL
244,FAIL
245,FAIL
246,FAIL
247,FAIL
248,FAIL
249,FAIL
250,FAIL
251,FAIL
252,FAIL
253,FAIL
254,FAIL
255,FAIL
256,TIME
257,FAIL
258,FAIL
259,TIME
260,FAIL
261,LIVE
262,FAIL
263,FAIL
264,FAIL
265,LIVE
266,EXC
267,EXC
268,EXC
269,EXC
270,EXC
271,FAIL
272,LIVE
273,LIVE
274,FAIL
275,LIVE
276,LIVE
277,LIVE
278,LIVE
279,LIVE
280,FAIL
281,FAIL
282,LIVE
283,EXC
284,FAIL
285,FAIL
286,FAIL
287,FAIL
288,FAIL
289,FAIL
290,FAIL
291,LIVE
292,LIVE
293,FAIL
294,LIVE
295,FAIL
296,LIVE
297,LIVE
298,LIVE
299,FAIL
300,FAIL
301,FAIL
302,FAIL
303,FAIL
304,FAIL
305,EXC
306,FAIL
307,EXC
308,FAIL
309,LIVE
310,EXC
311,EXC
312,EXC
313,LIVE
314,FAIL
315,FAIL
316,EXC
317,EXC
318,EXC
319,EXC
320,EXC
321,FAIL
322,EXC
323,LIVE
324,EXC
325,LIVE
326,EXC
327,FAIL
328,EXC
329,EXC
330,EXC
331,EXC
332,EXC
333,FAIL
334,EXC
335,LIVE
336,LIVE
337,EXC
338,FAIL
339,LIVE
340,FAIL
341,EXC
342,FAIL
343,LIVE
344,EXC
345,FAIL
346,FAIL
347,LIVE
348,FAIL
349,FAIL
350,LIVE
351,FAIL
352,LIVE
353,FAIL
354,LIVE
355,FAIL
356,LIVE
357,FAIL
358,FAIL
359,TIME
360,FAIL
361,FAIL
362,FAIL
363,FAIL
364,FAIL
365,EXC
366,FAIL
367,FAIL
368,FAIL
369,LIVE
370,FAIL
371,FAIL
372,FAIL
373,FAIL
374,FAIL
375,EXC
376,EXC
377,EXC
378,EXC
379,EXC
380,FAIL
381,FAIL
382,FAIL
383,LIVE
384,FAIL
385,FAIL
386,FAIL
387,FAIL
388,FAIL
389,EXC
390,EXC
391,EXC
392,EXC
393,EXC
394,FAIL
395,FAIL
396,EXC
397,LIVE
398,LIVE
399,EXC
400,FAIL
401,LIVE
402,FAIL
403,FAIL
404,TIME
405,FAIL
406,FAIL
407,FAIL
408,FAIL
409,LIVE
410,FAIL
411,FAIL
412,LIVE
413,FAIL
414,FAIL
415,FAIL
416,EXC
417,LIVE
418,EXC
419,FAIL
420,FAIL
421,FAIL
422,FAIL
423,FAIL
424,EXC
425,EXC
426,EXC
427,FAIL
428,LIVE
429,LIVE
430,FAIL
431,LIVE
432,LIVE
433,LIVE
434,LIVE
435,LIVE
436,FAIL
437,LIVE
438,LIVE
439,LIVE
440,FAIL
441,EXC
442,LIVE
443,EXC
444,FAIL
445,FAIL
446,EXC
447,LIVE
448,EXC
449,FAIL
450,FAIL
451,FAIL
452,FAIL
453,LIVE
454,LIVE
455,FAIL
456,LIVE
457,LIVE
458,FAIL
459,LIVE
460,FAIL
461,LIVE
462,LIVE
463,LIVE
464,FAIL
465,FAIL
466,LIVE
467,FAIL
468,EXC
469,FAIL
470,FAIL
471,EXC
472,FAIL
473,FAIL
474,EXC
475,FAIL
476,FAIL
477,EXC
478,FAIL
479,LIVE
480,FAIL
481,FAIL
482,EXC
483,EXC
484,LIVE
485,FAIL
486,EXC
487,EXC
488,EXC
489,FAIL
490,FAIL
491,EXC
492,EXC
493,LIVE
494,EXC
495,EXC
496,EXC
497,EXC
498,EXC
499,FAIL
500,EXC
501,EXC
502,EXC
