MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,FAIL
3,LIVE
4,FAIL
5,FAIL
6,FAIL
7,EXC
8,EXC
9,EXC
10,LIVE
11,EXC
12,FAIL
13,LIVE
14,TIME
15,EXC
16,LIVE
17,EXC
18,LIVE
19,LIVE
20,LIVE
21,EXC
22,EXC
23,EXC
24,FAIL
25,FAIL
26,EXC
27,FAIL
28,EXC
29,LIVE
30,LIVE
31,EXC
32,LIVE
33,LIVE
34,LIVE
35,EXC
36,LIVE
37,LIVE
38,LIVE
39,EXC
40,EXC
41,TIME
42,EXC
43,FAIL
44,EXC
45,LIVE
46,EXC
47,EXC
48,FAIL
49,EXC
50,EXC
51,FAIL
52,LIVE
53,UNCOV
54,FAIL
55,FAIL
56,FAIL
57,LIVE
58,FAIL
59,UNCOV
60,LIVE
61,FAIL
62,UNCOV
63,LIVE
64,FAIL
65,UNCOV
66,FAIL
67,LIVE
68,LIVE
69,LIVE
70,LIVE
71,LIVE
72,LIVE
73,LIVE
74,LIVE
75,FAIL
76,FAIL
77,LIVE
78,LIVE
79,FAIL
80,LIVE
81,LIVE
82,LIVE
83,LIVE
84,LIVE
85,LIVE
86,LIVE
87,LIVE
88,EXC
89,LIVE
90,EXC
91,EXC
92,EXC
93,EXC
94,EXC
95,EXC
96,EXC
97,EXC
98,EXC
99,EXC
100,EXC
101,EXC
102,LIVE
103,EXC
104,LIVE
105,LIVE
106,EXC
107,LIVE
108,EXC
109,LIVE
110,LIVE
111,LIVE
112,EXC
113,UNCOV
114,UNCOV
115,UNCOV
116,UNCOV
117,UNCOV
118,UNCOV
119,UNCOV
120,UNCOV
121,UNCOV
122,UNCOV
123,UNCOV
124,UNCOV
125,UNCOV
126,LIVE
127,LIVE
128,EXC
129,LIVE
130,LIVE
131,EXC
132,EXC
133,EXC
134,LIVE
135,EXC
136,LIVE
137,LIVE
138,EXC
139,LIVE
140,EXC
141,LIVE
142,LIVE
143,LIVE
144,EXC
145,UNCOV
146,UNCOV
147,LIVE
148,EXC
149,EXC
150,LIVE
151,LIVE
152,EXC
153,UNCOV
154,EXC
155,EXC
156,EXC
157,LIVE
158,LIVE
159,EXC
160,UNCOV
161,UNCOV
162,FAIL
163,LIVE
164,LIVE
165,EXC
166,LIVE
167,LIVE
168,LIVE
169,LIVE
170,FAIL
171,EXC
172,EXC
173,EXC
174,TIME
175,LIVE
176,LIVE
177,EXC
178,FAIL
179,LIVE
180,TIME
181,TIME
182,TIME
183,TIME
184,LIVE
185,LIVE
186,TIME
187,EXC
188,TIME
189,FAIL
190,FAIL
191,TIME
192,FAIL
193,TIME
194,LIVE
195,EXC
196,EXC
197,LIVE
198,EXC
199,LIVE
200,LIVE
201,TIME
202,LIVE
203,TIME
204,LIVE
205,UNCOV
206,UNCOV
207,UNCOV
208,LIVE
209,LIVE
210,LIVE
211,TIME
212,TIME
213,EXC
214,TIME
215,TIME
216,EXC
217,TIME
218,TIME
219,LIVE
220,LIVE
221,FAIL
222,LIVE
223,FAIL
224,LIVE
225,LIVE
226,TIME
227,LIVE
228,LIVE
229,LIVE
230,EXC
231,EXC
232,LIVE
233,LIVE
234,EXC
235,UNCOV
236,UNCOV
237,UNCOV
238,UNCOV
239,UNCOV
240,UNCOV
241,UNCOV
242,UNCOV
243,UNCOV
244,UNCOV
245,UNCOV
246,TIME
247,LIVE
248,LIVE
249,LIVE
250,LIVE
251,LIVE
252,UNCOV
253,UNCOV
254,LIVE
255,EXC
256,LIVE
257,EXC
258,LIVE
259,LIVE
260,LIVE
261,LIVE
262,EXC
263,UNCOV
264,LIVE
265,EXC
266,UNCOV
