MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,LIVE
2,LIVE
3,LIVE
4,LIVE
5,LIVE
6,LIVE
7,LIVE
8,LIVE
9,LIVE
10,LIVE
11,LIVE
12,LIVE
13,LIVE
14,LIVE
15,LIVE
16,LIVE
17,LIVE
18,LIVE
19,FAIL
20,LIVE
21,LIVE
22,LIVE
23,LIVE
24,FAIL
25,LIVE
26,LIVE
27,LIVE
28,FAIL
29,LIVE
30,LIVE
31,LIVE
32,EXC
33,LIVE
34,LIVE
35,LIVE
36,LIVE
37,LIVE
38,LIVE
39,LIVE
40,LIVE
41,LIVE
42,LIVE
43,LIVE
44,LIVE
45,UNCOV
46,LIVE
47,UNCOV
48,FAIL
49,FAIL
50,FAIL
51,FAIL
52,FAIL
53,FAIL
54,EXC
55,FAIL
56,LIVE
57,LIVE
58,EXC
59,LIVE
60,LIVE
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,FAIL
66,LIVE
67,EXC
68,FAIL
69,EXC
70,EXC
71,EXC
72,FAIL
73,EXC
74,LIVE
75,EXC
76,FAIL
77,LIVE
78,LIVE
79,FAIL
80,EXC
81,FAIL
82,LIVE
83,EXC
84,FAIL
85,EXC
86,EXC
87,FAIL
88,FAIL
89,LIVE
90,EXC
91,EXC
92,FAIL
93,EXC
94,LIVE
95,EXC
96,LIVE
97,FAIL
98,FAIL
99,FAIL
100,LIVE
101,LIVE
102,LIVE
103,FAIL
104,LIVE
105,EXC
106,EXC
107,FAIL
108,EXC
109,FAIL
110,FAIL
111,FAIL
112,EXC
113,LIVE
114,EXC
115,FAIL
116,FAIL
117,UNCOV
118,UNCOV
119,LIVE
120,UNCOV
121,UNCOV
122,FAIL
123,FAIL
124,EXC
125,EXC
126,FAIL
127,LIVE
128,EXC
129,EXC
130,EXC
131,FAIL
132,FAIL
133,FAIL
134,FAIL
135,FAIL
136,FAIL
137,FAIL
138,EXC
139,EXC
140,FAIL
141,FAIL
142,EXC
143,FAIL
144,EXC
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,EXC
153,EXC
154,LIVE
155,FAIL
156,EXC
157,FAIL
158,EXC
159,FAIL
