MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,LIVE
11,FAIL
12,FAIL
13,EXC
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,EXC
24,EXC
25,EXC
26,LIVE
27,LIVE
28,FAIL
29,LIVE
30,FAIL
31,LIVE
32,FAIL
33,EXC
34,FAIL
35,LIVE
36,FAIL
37,TIME
38,EXC
39,TIME
40,FAIL
41,FAIL
42,EXC
43,LIVE
44,LIVE
45,FAIL
46,EXC
47,EXC
48,FAIL
49,EXC
50,EXC
51,EXC
52,LIVE
53,LIVE
54,FAIL
55,EXC
56,FAIL
57,LIVE
58,LIVE
59,LIVE
60,EXC
61,FAIL
62,EXC
63,EXC
64,FAIL
65,EXC
66,FAIL
67,FAIL
68,FAIL
69,EXC
70,FAIL
71,LIVE
72,LIVE
73,LIVE
74,LIVE
75,LIVE
76,LIVE
77,LIVE
78,LIVE
79,LIVE
80,LIVE
81,LIVE
82,LIVE
83,LIVE
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,LIVE
91,LIVE
92,FAIL
93,LIVE
94,LIVE
95,FAIL
96,EXC
97,EXC
98,EXC
99,EXC
100,EXC
101,FAIL
102,EXC
103,EXC
104,EXC
105,EXC
106,FAIL
107,FAIL
108,EXC
109,EXC
110,FAIL
111,FAIL
112,TIME
113,EXC
114,TIME
115,FAIL
116,EXC
117,LIVE
118,LIVE
119,FAIL
120,EXC
121,EXC
122,FAIL
123,EXC
124,EXC
125,EXC
126,LIVE
127,LIVE
128,FAIL
129,FAIL
130,FAIL
131,LIVE
132,LIVE
133,FAIL
134,EXC
135,FAIL
136,EXC
137,EXC
138,LIVE
139,FAIL
140,EXC
141,FAIL
142,EXC
143,EXC
144,EXC
145,FAIL
146,TIME
147,TIME
148,EXC
149,EXC
150,EXC
151,EXC
152,FAIL
153,TIME
154,EXC
155,FAIL
156,FAIL
157,EXC
158,EXC
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,EXC
164,EXC
165,EXC
166,EXC
167,EXC
168,EXC
169,EXC
170,LIVE
171,LIVE
172,EXC
173,EXC
174,EXC
175,EXC
176,EXC
177,EXC
178,EXC
179,EXC
180,EXC
181,EXC
182,FAIL
183,FAIL
184,EXC
185,FAIL
186,EXC
187,FAIL
188,FAIL
189,LIVE
190,FAIL
191,LIVE
192,LIVE
193,FAIL
194,LIVE
195,UNCOV
196,LIVE
197,FAIL
198,FAIL
199,EXC
200,FAIL
201,LIVE
202,UNCOV
203,FAIL
204,EXC
205,FAIL
206,FAIL
207,EXC
208,FAIL
209,LIVE
210,FAIL
211,LIVE
212,FAIL
213,FAIL
214,EXC
215,LIVE
216,FAIL
217,FAIL
218,FAIL
219,LIVE
220,FAIL
221,FAIL
222,FAIL
223,FAIL
224,EXC
225,LIVE
226,FAIL
227,FAIL
228,FAIL
229,LIVE
230,FAIL
231,EXC
232,LIVE
233,FAIL
234,FAIL
235,FAIL
236,FAIL
237,FAIL
238,FAIL
239,LIVE
240,FAIL
241,FAIL
242,FAIL
243,LIVE
244,FAIL
245,FAIL
246,FAIL
247,LIVE
248,FAIL
249,FAIL
250,FAIL
251,FAIL
252,FAIL
253,LIVE
254,FAIL
255,FAIL
256,FAIL
257,LIVE
258,FAIL
259,FAIL
260,FAIL
261,LIVE
262,FAIL
263,FAIL
264,FAIL
265,FAIL
266,LIVE
267,LIVE
268,FAIL
269,FAIL
270,FAIL
271,LIVE
272,FAIL
273,FAIL
274,FAIL
275,LIVE
276,FAIL
277,FAIL
278,FAIL
279,LIVE
280,FAIL
281,FAIL
282,FAIL
283,UNCOV
284,EXC
285,EXC
286,FAIL
287,FAIL
288,EXC
289,FAIL
290,EXC
291,FAIL
292,FAIL
293,FAIL
294,FAIL
295,FAIL
296,EXC
297,EXC
298,FAIL
299,FAIL
300,EXC
301,FAIL
302,FAIL
303,FAIL
304,FAIL
305,FAIL
306,EXC
307,EXC
308,FAIL
309,FAIL
310,EXC
311,FAIL
312,LIVE
313,FAIL
314,FAIL
315,LIVE
316,FAIL
317,EXC
318,EXC
319,UNCOV
320,LIVE
321,LIVE
322,EXC
323,FAIL
324,EXC
325,LIVE
326,EXC
327,LIVE
328,EXC
329,LIVE
330,EXC
331,LIVE
332,EXC
333,EXC
334,EXC
335,EXC
336,TIME
337,EXC
338,EXC
339,EXC
340,EXC
341,EXC
342,TIME
343,EXC
344,EXC
345,EXC
346,EXC
347,EXC
348,EXC
349,FAIL
350,FAIL
351,FAIL
352,FAIL
353,FAIL
354,EXC
355,EXC
356,FAIL
357,EXC
358,FAIL
359,EXC
360,LIVE
361,EXC
362,LIVE
363,LIVE
364,LIVE
365,EXC
366,FAIL
367,FAIL
368,TIME
369,EXC
370,TIME
371,EXC
372,EXC
373,FAIL
374,FAIL
375,EXC
376,EXC
377,FAIL
378,FAIL
379,EXC
380,FAIL
381,LIVE
382,FAIL
383,EXC
384,EXC
385,FAIL
386,EXC
387,FAIL
388,FAIL
389,FAIL
390,LIVE
391,LIVE
392,FAIL
393,EXC
394,EXC
395,EXC
396,EXC
397,FAIL
398,FAIL
399,FAIL
400,LIVE
401,FAIL
402,FAIL
403,FAIL
