MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,LIVE
2,LIVE
3,FAIL
4,FAIL
5,EXC
6,EXC
7,LIVE
8,LIVE
9,FAIL
10,FAIL
11,LIVE
12,LIVE
13,FAIL
14,FAIL
15,EXC
16,FAIL
17,FAIL
18,EXC
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,LIVE
24,LIVE
25,EXC
26,EXC
27,LIVE
28,EXC
29,EXC
30,EXC
31,LIVE
32,EXC
33,LIVE
34,EXC
35,LIVE
36,EXC
37,EXC
38,EXC
39,EXC
40,LIVE
41,LIVE
42,EXC
43,EXC
44,EXC
45,LIVE
46,LIVE
47,EXC
48,FAIL
49,EXC
50,LIVE
51,LIVE
52,EXC
53,EXC
54,LIVE
55,LIVE
56,LIVE
57,LIVE
58,EXC
59,LIVE
60,LIVE
61,EXC
62,LIVE
63,LIVE
64,LIVE
65,EXC
66,LIVE
67,FAIL
68,LIVE
69,EXC
70,EXC
71,EXC
72,FAIL
73,EXC
74,FAIL
75,EXC
76,FAIL
77,LIVE
78,EXC
79,EXC
80,EXC
81,FAIL
82,FAIL
83,EXC
84,EXC
85,FAIL
86,LIVE
87,EXC
88,FAIL
89,TIME
90,FAIL
91,FAIL
92,FAIL
93,TIME
94,FAIL
95,FAIL
96,LIVE
97,TIME
98,TIME
99,FAIL
100,FAIL
101,TIME
102,FAIL
103,FAIL
104,LIVE
105,TIME
106,TIME
107,FAIL
108,TIME
109,TIME
110,FAIL
111,LIVE
112,TIME
113,FAIL
114,FAIL
115,LIVE
116,FAIL
117,FAIL
118,FAIL
119,FAIL
120,TIME
121,LIVE
122,EXC
123,LIVE
124,LIVE
125,LIVE
126,UNCOV
127,FAIL
128,FAIL
129,FAIL
130,FAIL
131,EXC
132,EXC
133,FAIL
134,FAIL
135,FAIL
136,EXC
137,FAIL
138,TIME
139,TIME
140,FAIL
141,LIVE
142,TIME
143,FAIL
144,FAIL
145,LIVE
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,TIME
151,LIVE
152,LIVE
153,LIVE
154,LIVE
155,LIVE
156,UNCOV
157,FAIL
158,FAIL
159,EXC
160,EXC
161,FAIL
162,FAIL
163,FAIL
164,EXC
165,FAIL
166,FAIL
167,FAIL
168,TIME
169,TIME
170,FAIL
171,FAIL
172,TIME
173,FAIL
174,FAIL
175,LIVE
176,FAIL
177,LIVE
178,FAIL
179,LIVE
180,TIME
181,LIVE
182,FAIL
183,FAIL
184,EXC
185,EXC
186,FAIL
187,FAIL
188,EXC
189,LIVE
190,LIVE
191,EXC
192,EXC
193,FAIL
194,FAIL
195,EXC
196,LIVE
197,LIVE
198,LIVE
199,EXC
200,LIVE
201,TIME
