MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,EXC
2,EXC
3,EXC
4,LIVE
5,EXC
6,EXC
7,FAIL
8,EXC
9,EXC
10,EXC
11,FAIL
12,FAIL
13,LIVE
14,FAIL
15,LIVE
16,FAIL
17,LIVE
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,LIVE
24,FAIL
25,FAIL
26,FAIL
27,LIVE
28,FAIL
29,LIVE
30,FAIL
31,FAIL
32,FAIL
33,UNCOV
34,EXC
35,FAIL
36,EXC
37,LIVE
38,LIVE
39,FAIL
40,LIVE
41,EXC
42,TIME
43,FAIL
44,EXC
45,FAIL
46,EXC
47,FAIL
48,FAIL
49,EXC
50,FAIL
51,EXC
52,FAIL
53,EXC
54,FAIL
55,EXC
56,FAIL
57,LIVE
58,EXC
59,EXC
60,EXC
61,LIVE
62,FAIL
63,FAIL
64,LIVE
65,FAIL
66,LIVE
67,LIVE
68,UNCOV
69,UNCOV
70,UNCOV
71,UNCOV
72,UNCOV
73,LIVE
74,LIVE
75,LIVE
76,EXC
77,LIVE
78,EXC
79,LIVE
80,LIVE
81,LIVE
82,LIVE
83,EXC
84,LIVE
85,LIVE
86,EXC
87,LIVE
88,LIVE
89,LIVE
90,LIVE
91,EXC
92,LIVE
93,EXC
94,LIVE
95,LIVE
96,LIVE
97,LIVE
98,EXC
99,LIVE
100,LIVE
101,EXC
102,LIVE
103,FAIL
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,EXC
115,FAIL
116,FAIL
117,EXC
118,FAIL
119,EXC
120,FAIL
121,FAIL
122,FAIL
123,FAIL
124,FAIL
125,FAIL
126,EXC
127,EXC
128,FAIL
129,FAIL
130,FAIL
131,FAIL
132,FAIL
133,FAIL
134,EXC
135,FAIL
136,FAIL
137,EXC
138,FAIL
139,EXC
140,FAIL
141,FAIL
142,FAIL
143,FAIL
144,FAIL
145,FAIL
146,EXC
147,EXC
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,FAIL
154,EXC
155,FAIL
156,FAIL
157,EXC
158,FAIL
159,EXC
160,FAIL
161,FAIL
162,FAIL
163,FAIL
164,FAIL
165,FAIL
166,EXC
167,EXC
168,FAIL
169,FAIL
170,EXC
171,FAIL
172,FAIL
173,FAIL
174,FAIL
175,FAIL
176,FAIL
177,EXC
178,EXC
179,FAIL
180,FAIL
181,FAIL
182,FAIL
183,FAIL
184,FAIL
185,EXC
186,FAIL
187,FAIL
188,EXC
189,FAIL
190,EXC
191,FAIL
192,FAIL
193,FAIL
194,FAIL
195,FAIL
196,FAIL
197,EXC
198,EXC
199,FAIL
200,FAIL
201,FAIL
202,FAIL
203,FAIL
204,FAIL
205,EXC
206,FAIL
207,FAIL
208,EXC
209,FAIL
210,EXC
211,FAIL
212,FAIL
213,FAIL
214,FAIL
215,FAIL
216,FAIL
217,EXC
218,EXC
219,FAIL
220,FAIL
221,FAIL
222,FAIL
223,FAIL
224,FAIL
225,FAIL
226,FAIL
227,LIVE
228,FAIL
229,FAIL
230,EXC
231,FAIL
232,FAIL
233,EXC
234,FAIL
235,EXC
236,FAIL
237,FAIL
238,FAIL
239,FAIL
240,FAIL
241,FAIL
242,EXC
243,EXC
244,FAIL
245,FAIL
246,EXC
247,FAIL
248,FAIL
249,FAIL
250,FAIL
251,FAIL
252,FAIL
253,EXC
254,FAIL
255,FAIL
256,FAIL
257,FAIL
258,FAIL
259,FAIL
260,FAIL
261,FAIL
262,FAIL
263,FAIL
264,FAIL
265,FAIL
266,FAIL
267,FAIL
268,FAIL
269,FAIL
270,FAIL
271,FAIL
272,EXC
273,FAIL
274,FAIL
275,FAIL
276,FAIL
277,FAIL
278,FAIL
279,EXC
280,EXC
281,FAIL
282,FAIL
283,FAIL
284,FAIL
285,FAIL
286,FAIL
287,EXC
288,FAIL
289,FAIL
290,EXC
291,FAIL
292,EXC
293,FAIL
294,FAIL
295,FAIL
296,FAIL
297,FAIL
298,FAIL
299,EXC
300,EXC
301,FAIL
302,FAIL
303,FAIL
304,FAIL
305,FAIL
306,FAIL
307,FAIL
308,FAIL
309,FAIL
310,FAIL
311,FAIL
