MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,UNCOV
14,UNCOV
15,UNCOV
16,UNCOV
17,UNCOV
18,UNCOV
19,UNCOV
20,UNCOV
21,UNCOV
22,UNCOV
23,UNCOV
24,UNCOV
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,LIVE
42,FAIL
43,FAIL
44,LIVE
45,FAIL
46,FAIL
47,EXC
48,FAIL
49,FAIL
50,EXC
51,UNCOV
52,UNCOV
53,LIVE
54,UNCOV
55,UNCOV
56,LIVE
57,EXC
58,EXC
59,EXC
60,LIVE
61,EXC
62,EXC
63,EXC
64,LIVE
65,EXC
66,EXC
67,EXC
68,LIVE
69,EXC
70,EXC
71,EXC
72,LIVE
73,LIVE
74,LIVE
75,LIVE
76,LIVE
77,LIVE
78,LIVE
79,LIVE
80,LIVE
81,LIVE
82,LIVE
83,LIVE
84,LIVE
85,LIVE
86,EXC
87,EXC
88,FAIL
89,EXC
90,EXC
91,EXC
92,EXC
93,EXC
94,EXC
95,EXC
96,LIVE
97,EXC
98,EXC
99,LIVE
100,EXC
101,LIVE
102,FAIL
103,EXC
104,LIVE
105,EXC
106,EXC
107,LIVE
108,LIVE
109,LIVE
110,EXC
111,LIVE
112,EXC
113,LIVE
114,EXC
115,EXC
116,LIVE
117,LIVE
118,LIVE
119,LIVE
120,EXC
121,EXC
122,LIVE
123,LIVE
124,LIVE
125,LIVE
126,LIVE
127,LIVE
128,LIVE
129,EXC
130,LIVE
131,LIVE
132,EXC
133,LIVE
134,EXC
135,EXC
136,LIVE
137,LIVE
138,LIVE
139,EXC
140,LIVE
141,FAIL
142,LIVE
143,EXC
144,LIVE
145,EXC
146,FAIL
147,LIVE
148,EXC
149,LIVE
150,FAIL
151,EXC
152,EXC
153,LIVE
154,LIVE
155,LIVE
156,EXC
157,LIVE
158,EXC
159,EXC
160,LIVE
161,EXC
162,EXC
163,EXC
164,LIVE
165,EXC
166,LIVE
167,LIVE
168,LIVE
169,EXC
170,EXC
171,LIVE
172,LIVE
173,LIVE
174,LIVE
175,LIVE
176,LIVE
177,LIVE
