MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,EXC
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,EXC
7,FAIL
8,EXC
9,FAIL
10,EXC
11,FAIL
12,LIVE
13,LIVE
14,FAIL
15,EXC
16,EXC
17,FAIL
18,FAIL
19,FAIL
20,EXC
21,LIVE
22,EXC
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,EXC
31,FAIL
32,FAIL
33,EXC
34,EXC
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,LIVE
42,FAIL
43,FAIL
44,EXC
45,LIVE
46,LIVE
47,LIVE
48,FAIL
49,EXC
50,EXC
51,FAIL
52,FAIL
53,EXC
54,EXC
55,LIVE
56,FAIL
57,EXC
58,EXC
59,FAIL
60,FAIL
61,EXC
62,TIME
63,FAIL
64,LIVE
65,FAIL
66,LIVE
67,LIVE
68,FAIL
69,EXC
70,FAIL
71,FAIL
72,EXC
73,FAIL
74,FAIL
75,EXC
76,TIME
77,EXC
78,LIVE
79,LIVE
80,LIVE
81,FAIL
82,EXC
83,EXC
84,FAIL
85,EXC
86,FAIL
87,EXC
88,FAIL
89,LIVE
90,EXC
91,EXC
92,EXC
93,FAIL
94,EXC
95,EXC
96,EXC
97,EXC
98,FAIL
99,FAIL
100,EXC
101,TIME
102,FAIL
103,LIVE
104,FAIL
105,LIVE
106,FAIL
107,EXC
108,FAIL
109,LIVE
110,EXC
111,EXC
112,EXC
113,FAIL
114,EXC
115,EXC
116,EXC
117,FAIL
118,FAIL
119,EXC
120,FAIL
121,FAIL
122,EXC
123,TIME
124,FAIL
125,EXC
126,EXC
127,LIVE
128,LIVE
129,LIVE
130,FAIL
131,EXC
132,EXC
133,FAIL
134,FAIL
135,EXC
136,LIVE
137,EXC
138,FAIL
139,FAIL
140,EXC
141,EXC
142,LIVE
143,FAIL
144,UNCOV
145,UNCOV
146,UNCOV
147,LIVE
148,LIVE
149,LIVE
150,LIVE
151,EXC
152,FAIL
153,UNCOV
154,UNCOV
155,UNCOV
156,UNCOV
157,UNCOV
158,LIVE
159,LIVE
160,EXC
161,EXC
162,UNCOV
163,UNCOV
164,UNCOV
165,UNCOV
166,UNCOV
167,UNCOV
168,UNCOV
169,UNCOV
170,UNCOV
171,UNCOV
172,UNCOV
173,UNCOV
174,LIVE
175,LIVE
176,EXC
177,FAIL
178,EXC
179,EXC
180,EXC
181,EXC
182,EXC
183,FAIL
184,FAIL
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,EXC
191,FAIL
192,FAIL
193,LIVE
194,EXC
195,FAIL
196,LIVE
197,EXC
198,EXC
199,EXC
200,LIVE
201,FAIL
202,FAIL
203,LIVE
204,EXC
205,EXC
206,EXC
207,EXC
208,EXC
209,FAIL
210,FAIL
211,EXC
212,EXC
213,EXC
214,EXC
215,EXC
216,FAIL
217,FAIL
218,FAIL
219,FAIL
220,FAIL
221,FAIL
222,EXC
223,FAIL
224,EXC
225,FAIL
226,FAIL
227,FAIL
228,FAIL
229,FAIL
230,FAIL
231,FAIL
232,FAIL
233,FAIL
234,FAIL
235,FAIL
236,FAIL
237,FAIL
238,FAIL
239,FAIL
240,FAIL
241,FAIL
242,FAIL
243,FAIL
244,FAIL
245,FAIL
246,FAIL
247,FAIL
248,FAIL
249,FAIL
250,FAIL
251,FAIL
252,FAIL
253,FAIL
254,FAIL
255,TIME
256,FAIL
257,FAIL
258,TIME
259,FAIL
260,LIVE
261,FAIL
262,FAIL
263,FAIL
264,LIVE
265,EXC
266,EXC
267,EXC
268,EXC
269,EXC
270,FAIL
271,LIVE
272,LIVE
273,FAIL
274,LIVE
275,LIVE
276,LIVE
277,LIVE
278,LIVE
279,FAIL
280,FAIL
281,LIVE
282,EXC
283,FAIL
284,FAIL
285,FAIL
286,FAIL
287,FAIL
288,FAIL
289,FAIL
290,LIVE
291,LIVE
292,FAIL
293,LIVE
294,FAIL
295,LIVE
296,LIVE
297,LIVE
298,FAIL
299,FAIL
300,FAIL
301,FAIL
302,FAIL
303,FAIL
304,EXC
305,FAIL
306,EXC
307,FAIL
308,LIVE
309,EXC
310,EXC
311,EXC
312,LIVE
313,FAIL
314,FAIL
315,EXC
316,EXC
317,EXC
318,EXC
319,EXC
320,FAIL
321,EXC
322,LIVE
323,EXC
324,LIVE
325,EXC
326,FAIL
327,EXC
328,EXC
329,EXC
330,EXC
331,EXC
332,FAIL
333,EXC
334,LIVE
335,LIVE
336,EXC
337,FAIL
338,LIVE
339,FAIL
340,EXC
341,FAIL
342,LIVE
343,EXC
344,FAIL
345,FAIL
346,LIVE
347,FAIL
348,FAIL
349,LIVE
350,FAIL
351,LIVE
352,FAIL
353,LIVE
354,FAIL
355,LIVE
356,FAIL
357,FAIL
358,TIME
359,FAIL
360,FAIL
361,FAIL
362,FAIL
363,FAIL
364,EXC
365,FAIL
366,FAIL
367,FAIL
368,LIVE
369,FAIL
370,FAIL
371,FAIL
372,FAIL
373,FAIL
374,EXC
375,EXC
376,EXC
377,EXC
378,EXC
379,FAIL
380,FAIL
381,FAIL
382,LIVE
383,FAIL
384,FAIL
385,FAIL
386,FAIL
387,FAIL
388,EXC
389,EXC
390,EXC
391,EXC
392,EXC
393,FAIL
394,FAIL
395,EXC
396,LIVE
397,LIVE
398,EXC
399,FAIL
400,LIVE
401,FAIL
402,FAIL
403,TIME
404,FAIL
405,FAIL
406,FAIL
407,FAIL
408,LIVE
409,FAIL
410,FAIL
411,LIVE
412,FAIL
413,FAIL
414,FAIL
415,EXC
416,LIVE
417,EXC
418,FAIL
419,FAIL
420,FAIL
421,FAIL
422,FAIL
423,EXC
424,EXC
425,EXC
426,FAIL
427,LIVE
428,LIVE
429,FAIL
430,LIVE
431,LIVE
432,LIVE
433,LIVE
434,LIVE
435,FAIL
436,LIVE
437,LIVE
438,LIVE
439,FAIL
440,EXC
441,LIVE
442,EXC
443,FAIL
444,FAIL
445,EXC
446,LIVE
447,EXC
448,FAIL
449,FAIL
450,FAIL
451,FAIL
452,LIVE
453,LIVE
454,FAIL
455,LIVE
456,LIVE
457,FAIL
458,LIVE
459,FAIL
460,LIVE
461,LIVE
462,LIVE
463,FAIL
464,FAIL
465,LIVE
466,FAIL
467,EXC
468,FAIL
469,FAIL
470,EXC
471,FAIL
472,FAIL
473,EXC
474,FAIL
475,FAIL
476,EXC
477,FAIL
478,LIVE
479,FAIL
480,FAIL
481,EXC
482,EXC
483,LIVE
484,FAIL
485,EXC
486,EXC
487,EXC
488,FAIL
489,FAIL
490,EXC
491,EXC
492,LIVE
493,EXC
494,EXC
495,EXC
496,EXC
497,EXC
498,FAIL
499,EXC
500,EXC
